"Year","Country","Number","First name","Last name","Middle name","Gender","P1","P2","P3","P4","Total score","Award"
"2017","Netherlands","1","Nils","Berg","van de","m","0","6","7","2","15","bronze"
"2017","Netherlands","2","Erik","Cappellen","van","m","7","4","6","2","19","silver"
"2017","Netherlands","3","Thomas","Chen","","m","7","7","7","1","22","gold"
"2017","Netherlands","4","Ludo","Dekker","","m","3","6","7","3","19","silver"
"2017","Netherlands","5","Wietze","Koops","","m","7","7","7","1","22","gold"
"2017","Netherlands","6","Matthijs","Poel","van der","m","0","7","7","2","16","bronze"
"2017","Netherlands","7","Ward","Schoot","van der","m","7","0","7","2","16","bronze"
"2017","Netherlands","8","Maarten","Stremler","","m","7","4","0","1","12","bronze"
"2017","Netherlands","9","Siebe","Verheijen","","m","6","4","7","1","18","silver"
"2017","Netherlands","10","Lammert","Westerdijk","","m","0","1","1","4","6",""
"2018","Belgium","1","Tijs","Buggenhout","","m","7","5","7","6","25","gold"
"2018","Belgium","2","Daniel","Cortild","","m","7","0","7","7","21","silver"
"2018","Belgium","3","Flor","De Bock","","m","7","0","2","6","15","bronze"
"2018","Belgium","4","Gert-Jan","Devleeschouwer","","m","0","0","7","1","8","hm"
"2018","Belgium","5","Benoît","Dubus","","m","4","0","0","7","11","bronze"
"2018","Belgium","6","Willem","Jaspers","","m","5","0","0","1","6",""
"2018","Belgium","7","Jueun","Kim","","f","7","0","0","0","7","hm"
"2018","Belgium","8","Marie","Peeters","","f","7","3","7","7","24","gold"
"2018","Belgium","9","Bruno","Ploumhans","","m","7","0","0","6","13","bronze"
"2018","Belgium","10","Lukas","Vandeputte","","m","5","2","3","6","16","bronze"
"2018","France","1","Emile","Averous","","m","7","0","6","6","19","silver"
"2018","France","2","Pierre-Alexandre","Bazin","","m","7","7","7","7","28","gold"
"2018","France","3","Matthieu","Bouyer","","m","7","0","4","7","18","silver"
"2018","France","4","Paul","Cahen","","m","7","7","7","7","28","gold"
"2018","France","5","Pierre-Marie","Esmenjaud","","m","5","0","7","7","19","silver"
"2018","France","6","Théodore","Fougereux","","m","7","0","4","7","18","silver"
"2018","France","7","Julien","Jampsin","","m","7","0","0","6","13","bronze"
"2018","France","8","Anna","Luchnikova","","f","0","0","4","7","11","bronze"
"2018","France","9","Xavier","Pigé","","m","1","3","4","7","15","bronze"
"2018","France","10","Jean","Zablocki","","m","4","0","7","3","14","bronze"
"2018","Ireland","1","Anna","Mustata","","f","0","0","6","7","13","bronze"
"2018","Ireland","2","Kim","Wansoo","","m","5","0","0","0","5",""
"2018","Ireland","3","Lucas","Bachmann","","m","6","5","0","7","18","silver"
"2018","Ireland","4","Tony","O’Halloran","","m","0","0","0","1","1",""
"2018","Ireland","5","Basem","Fouda","","m","0","0","0","1","1",""
"2018","Ireland","6","Vlad","Lica","","m","0","0","0","6","6",""
"2018","Ireland","7","Nicholas","Pochinkov","","m","0","2","0","7","9","hm"
"2018","Ireland","8","Dylan","Cuskelly","","m","1","0","0","1","2",""
"2018","Ireland","9","Michal","Szarkowicz","","m","1","0","0","0","1",""
"2018","Luxembourg","1","Nathaël","Da Costa","","m","0","0","0","4","4",""
"2018","Luxembourg","2","Pol","Thill","","m","0","0","0","0","0",""
"2018","Luxembourg","3","Vincent","Toor","","m","5","0","0","1","6",""
"2018","Luxembourg","4","Lea","Menasce","","f","0","0","7","1","8","hm"
"2018","Luxembourg","5","Mathis","Foxius","","m","0","1","1","0","2",""
"2018","Luxembourg","6","Philippe","Harpes","","m","0","0","2","0","2",""
"2018","Luxembourg","7","Rafael","Menasce","","m","1","0","0","1","2",""
"2018","Luxembourg","8","Noah","Oberweis","","m","2","0","0","0","2",""
"2018","Luxembourg","9","Oscar","Van Bommel","","m","1","0","0","1","2",""
"2018","Luxembourg","10","Lori","Reding","","f","0","0","0","0","0",""
"2018","Netherlands","1","Nils","Berg","van de","m","7","3","7","7","24","gold"
"2018","Netherlands","2","Szabi","Buzogany","","m","7","3","7","5","22","silver"
"2018","Netherlands","3","Thomas","Chen","","m","7","6","0","7","20","silver"
"2018","Netherlands","4","Philippe","Elderen","van","m","2","0","0","0","2",""
"2018","Netherlands","5","Jovan","Gerbscheid","","m","7","1","7","7","22","silver"
"2018","Netherlands","6","Hanne","Snijders","","f","0","0","1","4","5",""
"2018","Netherlands","7","Floris","Venselaar","","m","1","1","3","7","12","bronze"
"2018","Netherlands","8","Tim","Vogels","","m","2","3","5","7","17","bronze"
"2018","Netherlands","9","Lammert","Westerdijk","","m","7","0","7","7","21","silver"
"2018","Netherlands","10","Richard","Wols","","m","4","0","4","7","15","bronze"
"2018","Switzerland","1","Valentin","Imbach","","m","7","3","2","7","19","silver"
